FID,line,name,notes,objectid,url,latitude,longitude
0,4-6-6 Express,Astor Pl,"4 nights, 6-all times, 6 Express-weekdays AM southbound, PM northbound",1.000000000000000,http://web.mta.info/nyct/service/,40.730054000300001,-73.991069998599997
1,4-6-6 Express,Canal St,"4 nights, 6-all times, 6 Express-weekdays AM southbound, PM northbound",2.000000000000000,http://web.mta.info/nyct/service/,40.718803001100000,-74.000192999299998
2,1-2,50th St,"1-all times, 2-nights",3.000000000000000,http://web.mta.info/nyct/service/,40.761727999599998,-73.983848999900005
3,2-3-4,Bergen St,"4-nights, 3-all other times, 2-all times",4.000000000000000,http://web.mta.info/nyct/service/,40.680862136800002,-73.974999151199995
4,3-4,Pennsylvania Ave,"4-nights, 3-all other times",5.000000000000000,http://web.mta.info/nyct/service/,40.664714451400002,-73.894885911499998
5,1,238th St,"1-all times, exit only northbound",6.000000000000000,http://web.mta.info/nyct/service/,40.884667000599997,-73.900870000200001
6,A-B-C,Cathedral Pkwy (110th St),"A-nights, B-weekdays and evenings, C-all times exc nights",7.000000000000000,http://web.mta.info/nyct/service/,40.800581558099999,-73.958066706599993
7,A-C,Kingston - Throop Aves,"A-nights, C-all other times",8.000000000000000,http://web.mta.info/nyct/service/,40.679918999400002,-73.940858998699994
8,E-M-R,65th St,"E-nights, R-all other times, M-weekdays and evenings",9.000000000000000,http://web.mta.info/nyct/service/,40.749719529399997,-73.898788378299997
9,E-M-R,36th St,"E-nights, R-all other times, M-weekdays and evenings",10.000000000000000,http://web.mta.info/nyct/service/,40.751960044000000,-73.929018184599997
10,J-M-Z,Delancey St - Essex St,"J-all times, M-all times exc nights, Z-rush hours AM westbound, PM eastbound",11.000000000000000,http://web.mta.info/nyct/service/,40.718306056199999,-73.987409401999997
11,J-Z,Van Siclen Ave,"Z-rush hours AM westbound, PM eastbound, J-all other times",12.000000000000000,http://web.mta.info/nyct/service/,40.678028214500003,-73.891657726999995
12,J-Z,Norwood Ave,"Z-rush hours AM westbound, PM eastbound, J-all other times",13.000000000000000,http://web.mta.info/nyct/service/,40.681520000500001,-73.879625999100000
13,J-Z,104th-102nd Sts,"Z-rush hours AM westbound, PM eastbound, J-all other times",14.000000000000000,http://web.mta.info/nyct/service/,40.695165998199997,-73.844435000299995
14,B-D-N-Q-R,DeKalb Ave,"B-weekdays and evenings, D-all other times, N-nights, R-all other times, Q-all times",15.000000000000000,http://web.mta.info/nyct/service/,40.690648119999999,-73.981770944399997
15,A-S,Beach 105th St,"A-rush hours AM northbound, PM southbound, S Broad Channel to Rockaway Park-all times",16.000000000000000,http://web.mta.info/nyct/service/,40.583268438099999,-73.827580750300001
16,A-S,Beach 90th St,"A-rush hours AM northbound, PM southbound, S Broad Channel to Rockaway Park-all times",17.000000000000000,http://web.mta.info/nyct/service/,40.588091564599999,-73.813651404200002
17,2-5,Freeman St,"2-all times, 5-all times exc nights, skips rush hours AM southbound, PM northbound",18.000000000000000,http://web.mta.info/nyct/service/,40.829987446399997,-73.891752253500002
18,2-5,Intervale Ave,"2-all times, 5-all times exc nights, skips rush hours AM southbound, PM northbound",19.000000000000000,http://web.mta.info/nyct/service/,40.822142131200003,-73.896617384600006
